winner_rank,winner_age,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced
76,30.35728953,59,4,0,54,31,26,14,9,4,4
37,27.1156742,125,8,3,90,60,42,12,15,3,6
46,28.41615332,78,6,0,73,39,28,23,12,7,8
135,23.63312799,68,1,0,54,27,24,21,10,0,0
65,27.94524298,68,10,0,68,51,36,4,8,5,6
21,21.86721424,93,8,1,77,53,40,14,13,7,9
78,29.89185489,,,,,,,,,,
56,23.80561259,117,4,3,83,45,36,20,13,2,4
118,22.7761807,85,4,0,64,39,29,16,11,1,2
58,26.69952088,51,7,0,43,36,28,5,8,1,1
43,27.97809719,56,6,0,41,28,21,9,7,0,0
76,30.35728953,101,8,2,82,57,41,10,13,3,5
46,28.41615332,91,6,4,77,39,30,19,12,8,11
21,21.86721424,100,5,6,91,52,35,21,15,2,6
78,29.89185489,116,15,2,92,51,43,20,15,3,6
118,22.7761807,96,3,3,67,34,23,18,10,5,7
76,30.35728953,94,6,1,66,45,32,10,10,3,5
21,21.86721424,98,7,5,83,52,38,16,14,3,6
78,29.89185489,105,6,4,80,54,48,14,15,1,2
76,30.35728953,108,9,0,93,64,50,15,12,4,5
78,29.89185489,92,16,3,80,56,37,10,12,6,9
34,26.39835729,110,7,4,76,42,33,18,14,0,2
51,29.5797399,63,0,2,49,29,22,13,8,3,3
68,22.68583162,51,3,1,46,27,24,10,8,3,3
18,26.51608487,57,4,2,56,37,27,9,7,11,11
30,23.94250513,118,8,3,89,54,46,14,12,4,5
31,20.12594114,100,8,0,81,37,27,19,12,6,10
53,21.08418891,121,5,5,101,63,52,20,17,3,4
8,23.58110883,84,7,4,58,36,28,8,9,4,6
33,27.25804244,67,3,3,41,17,14,17,8,0,1
21,22.18754278,75,8,3,64,26,22,22,10,4,5
26,25.92197125,69,4,1,44,22,18,15,8,2,2
15,27.20602327,112,17,4,88,58,46,16,11,7,7
9,25.51676934,83,6,4,60,32,29,14,10,1,1
19,21.79055441,61,3,2,40,22,18,11,8,0,1
40,28.05475702,101,6,1,68,28,21,22,11,3,5
5,23.78644764,80,7,1,52,33,28,11,10,0,1
6,23.50444901,120,11,3,85,47,37,25,15,1,2
22,21.94387406,140,8,3,96,53,41,28,15,2,2
42,31.38398357,126,4,1,99,72,50,13,14,7,8
35,23.34565366,72,12,3,52,31,24,12,9,2,3
13,24.71731691,109,2,1,101,68,46,21,15,8,10
70,28.49828884,88,18,4,76,48,38,17,14,4,6
64,23.50992471,80,5,1,56,24,17,20,9,2,3
3,26.06433949,51,3,0,46,26,19,11,7,1,1
7,24.21355236,69,3,2,64,34,26,21,10,1,1
28,22.03696099,123,10,6,87,33,27,25,12,5,9
55,24.97193703,62,5,5,49,23,18,17,8,2,2
10,26.00136893,55,12,4,52,26,23,16,9,4,4
12,19.04722793,110,2,3,84,42,35,24,14,2,3
62,30.43394935,60,4,0,48,29,27,9,9,0,0
46,28.49281314,141,13,3,108,69,54,22,16,6,7
2,28.58590007,62,10,3,56,34,31,12,10,3,3
34,26.39835729,76,4,1,65,44,32,11,9,3,3
68,22.68583162,68,2,2,59,44,33,9,10,2,2
30,23.94250513,52,4,1,43,28,21,7,7,3,4
8,23.58110883,120,0,8,96,48,37,25,13,9,10
